<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.12.21	133375	134240	133270	134240	4016533	13939621	5
2023.12.22	134100	134920	133910	134495	3174815	12202311	5
2023.12.26	134760	135550	134520	135480	2378748	8306871	5
2023.12.27	135400	136100	135070	136070	2760075	10458214	5
2023.12.28	135780	136085	135425	135850	2784718	10267608	5
2024.01.02	135250	135350	133550	134230	3568454	13305027	5
2024.01.03	133925	135150	133620	134600	4107990	15073372	5
2024.01.04	134650	134715	132390	132530	3906477	15293579	5
2024.01.05	132310	134040	131840	133520	4426059	16306184	5
2024.01.08	132840	134050	132305	134050	4084867	14758201	5
2024.01.09	133490	133495	132360	132560	4214360	15576365	5
2024.01.10	132700	133060	131595	131910	3953211	14660612	5
2024.01.11	132050	132430	130950	131730	5004226	16728166	5
2024.01.12	131580	133040	131380	132005	3877112	13949687	5
2024.01.15	131695	132830	131260	132665	2873633	11028652	5
2024.01.16	131945	132010	130015	130070	4608517	17370760	5
2024.01.17	129600	130165	128980	129170	4040349	14884381	5
2024.01.18	129730	130200	128040	128050	3975775	15638453	5
2024.01.19	128690	128890	127295	128250	3818398	15149923	5
2024.01.22	128450	128645	126580	127250	4121374	16149291	5
2024.01.23	127600	129155	127480	129030	4176060	16238152	5
2024.01.24	129760	130215	128250	128315	4218248	16980033	5
2024.01.25	128740	129315	128400	128670	3979567	15311796	5
2024.01.26	129125	129805	128370	129325	4025513	14837224	5
2024.01.29	129630	129655	128320	129100	4072215	15252431	5
2024.01.30	128820	129260	127495	127660	4278548	16844846	5
2024.01.31	127595	130060	127530	127990	4916277	19415109	5
2024.02.01	128485	128950	127545	128790	4399349	16947221	5
2024.02.02	129035	129280	126860	127580	4196870	16412114	5
2024.02.05	127320	128075	126610	127800	4043589	15958333	5
2024.02.06	127995	131110	127870	131110	4102560	16220666	5
2024.02.07	130650	130650	129555	130045	4187271	16214943	5
2024.02.08	129835	130195	127955	128280	4217358	16310533	5
2024.02.09	128600	129020	127575	128060	4208138	16164089	5
2024.02.14	129420	129770	128765	129200	2183336	8221856	5
2024.02.15	129465	129925	128985	129900	4116079	15318357	5
2024.02.16	130180	131165	129690	130830	4125379	15948898	5
2024.02.19	130465	131065	130085	131035	2688908	10293979	5
2024.02.20	130395	132070	130085	132070	3971098	15930581	5
2024.02.21	131520	132245	131215	132245	4247261	15955988	5
2024.02.22	132950	133000	131820	132055	3936614	15201721	5
2024.02.23	132260	132480	130860	131515	3618772	14692909	5
2024.02.26	131235	131785	130860	131285	3368639	13136324	5
2024.02.27	131850	133600	131830	133375	3325487	13034020	5
2024.02.28	132900	133080	131420	131825	4129062	15803034	5
2024.02.29	132200	132270	130270	130800	3999046	15682471	5
2024.03.01	130970	131315	130230	130500	3698759	14040165	5
2024.03.04	130680	130875	129740	129815	3213960	12146855	5
2024.03.05	129700	130520	129270	129750	4058493	15648447	5
2024.03.06	130175	130775	129880	130265	4245189	16424386	5
2024.03.07	130580	130615	129370	129685	3609177	14259949	5
2024.03.08	127500	128880	127100	128305	4846874	18711194	5
2024.03.11	127695	128240	127235	127560	4206335	16197890	5
2024.03.12	127870	129325	127805	128905	4629042	17066098	5
2024.03.13	128940	129740	128480	129325	3987890	15258994	5
2024.03.14	129550	129580	128270	129000	4369966	17081901	5
2024.03.15	128930	129060	127460	127490	3777439	14928572	5
2024.03.18	128200	128580	127270	127805	3638657	14668527	5
